Visit Number ,Positive culture,sex,Age ,BW,Color,Clarity ,USG,ph,Protein,Glucose,Ketones,Bilirubin,Hemoprotein,Lipid Layer,WBC,RBC
1997BP,0,2,10.9,2.3,Yellow,Sl Hazy,1.023,5,25,0,0,0,250,Flocculent,0,60
51954EM,0,4,17.6,3.2,Straw,Clear,1.016,6,75,50,0,0,50,Present,4,6
2758BP,0,2,14.6,4.8,Yellow,Hazy,1.019,6,25,0,0,0,0,Not Present,2,2
52037EM,1,2,24.6,,Straw,Sl Hazy,1.011,5,0,0,0,0,250,Present,40,10
2970BP,0,4,15,7.9,Straw,Cloudy,1.028,7,0,1000,0,0,25,Present,2,6
3082BP,0,2,8.5,4.6,Straw,Clear,1.021,5,25,0,0,0,250,Flocculent,10,100
3092BP,0,4,9.6,3.5,Straw,Hazy,1.018,5,75,1000,0,0,250,Not Present,0,100
3098BP,0,4,12.6,9.2,Yellow,Hazy,1.053,7,25,1000,0,0,250,Not Present,0,100
3127BP,0,4,15.5,4.7,Straw,Clear,1.015,5,25,0,0,0,0,Not Present,2,2
3277BP,0,4,12,3.7,Amber,Cloudy,1.031,6,25,0,0,6,250,Not Present,3,100
3281BP,1,4,18.1,,Straw,Hazy,1.01,5,25,0,0,0,10,Not Present,100,8
3407BP,0,2,11.4,7.4,Yellow,Hazy,1.031,6,25,0,0,0,250,Not Present,0,40
52154EM,0,4,5.6,5.7,Yellow,Cloudy,1.035,5,25,0,0,0,250,Present,1,5
52173EM,1,4,13.6,4,Red,Cloudy,1.015,8,75,300,0,0,250,Not Present,100,100
3693BP,0,4,18.1,2.3,Straw,Hazy,1.011,6,0,0,0,0,10,Not Present,2,2
3916BP,0,4,15.6,,Yellow,Clear,1.02,6,75,1000,0,0,0,Not Present,6,4
4182BP,0,2,14,2.8,Yellow,Hazy,1.025,6,25,0,5,3,0,Not Present,0,3
4327BP,0,2,5.7,,Amber,Hazy,1.06,7,150,0,0,0,0,Present,5,5
4368BP,0,4,10,3.5,Amber,Cloudy,1.066,7,150,0,0,3,10,Present,10,2
4397BP,1,2,5.7,6.7,Red,Cloudy,1.02,7,500,50,0,0,250,Not Present,4,100
4518BP,0,4,18.5,2.7,Straw,Hazy,1.035,7,75,1000,0,0,25,Present,5,2
4580BP,0,4,12.7,5.4,Yellow,Clear,1.048,6,75,0,0,0,0,Not Present,1,0
4638BP,0,2,10.5,5.6,Yellow,Hazy,1.036,7,150,0,0,1,250,Present,0,100
52272EM,0,2,2.1,,Straw,Sl Hazy,1.037,7,25,100,0,0,25,Present,0,12
52334EM,0,4,13.7,4.8,Straw,Clear,1.012,7,0,0,0,0,0,Not Present,0,0
4932BP,0,2,14.8,5,Straw,Hazy,1.017,7,0,1000,0,0,50,Present,0,5
5016BP,0,2,12.4,5.1,Straw,Hazy,1.013,6,75,0,0,0,250,Not Present,0,100
5042BP,0,4,12.7,2.6,Yellow,Hazy,1.027,7,150,1000,0,3,250,Not Present,6,8
5121BP,0,2,9.7,3.9,Yellow,Cloudy,1.03,6,150,100,0,0,50,Not Present,0,5
5244BP,1,2,16.8,3.8,Yellow,Clear,1.016,6,0,0,0,0,0,Not Present,2,2
5271BP,0,4,15.1,3.8,Straw,Cloudy,1.02,6,25,0,0,0,250,Present,0,100
52373EM,0,2,8.7,6.7,Yellow,Clear,1.013,5,25,0,0,0,150,Not Present,2,2
52460EM,0,2,5.7,5.1,Straw,Clear,1.011,6,25,0,0,0,250,Present,3,18
5615BP,0,4,7,7.3,Amber,Opaque,1.04,7,150,0,0,1,250,Not Present,20,100
5755BP,0,2,14,5,Yellow,Sl Hazy,1.021,7,25,300,0,0,0,Flocculent,0,0
5815BP,0,2,10,,Straw,Clear,1.017,6,0,0,0,0,0,Not Present,0,2
5924BP,0,4,5.7,5.8,Yellow,Sl Hazy,1.034,5,25,0,0,0,250,Not Present,1,100
6325BP,0,2,14,4.3,Yellow,Clear,1.026,5,75,0,0,0,0,Not Present,5,2
6382BP,0,2,10.7,9.4,Yellow,Sl Hazy,1.044,6,25,50,0,0,0,Not Present,10,5
52605EM,0,2,5.1,5.3,Straw,Sl Hazy,1.012,6,25,0,0,0,25,Present,6,4
6742BP,1,2,15.7,3.9,Yellow,Cloudy,1.047,7,75,0,0,0,250,Present,4,8
52663EM,0,2,4.7,6.1,Yellow,Hazy,1.048,7,150,0,0,1,250,Not Present,1,100
6961BP,0,4,16.7,4.9,Straw,Clear,1.025,6,0,1000,0,0,0,Not Present,2,0
6965BP,1,4,13.4,4.8,Straw,Clear,1.012,5,0,0,0,0,0,Not Present,20,5
7154BP,0,4,8.5,5.1,Yellow,Cloudy,1.053,6,25,1000,0,1,0,Flocculent,0,0
7209BP,0,2,14.7,3.3,Straw,Hazy,1.016,5,25,0,0,0,250,Not Present,2,80
52695EM,0,2,12.2,4.7,Yellow,Clear,1.036,6,150,1000,50,0,25,Not Present,10,7
7492BP,0,2,9.3,5,Colorless,Clear,1.008,7,75,0,0,0,0,Not Present,2,2
7631BP,0,4,14.1,3.3,Straw,Clear,1.017,5,0,0,0,0,150,Not Present,2,10
52756EM,0,4,18.8,4.8,Straw,Hazy,1.012,7,25,0,0,0,250,Not Present,1,100
8277BP,0,4,15.8,5.1,Straw,Sl Hazy,1.021,6,150,0,0,0,250,Present,2,100
8900BP,0,1,0,,Amber,Opaque,1.051,7,150,0,0,3,250,Not Present,5,100
8343BP,1,4,14.8,4.9,Straw,Cloudy,1.029,5,0,0,0,0,10,Present,100,2
8469BP,0,2,13.4,7.3,Yellow,Clear,1.049,6,25,100,0,0,0,Flocculent,0,0
8653BP,1,2,12.8,4,Yellow,Cloudy,1.03,7,75,0,0,0,250,Not Present,6,100
8853BP,0,2,16.8,3.3,Straw,Clear,1.01,6,25,0,0,0,250,Not Present,8,80
8859BP,0,2,16.1,5.1,Straw,Clear,1.022,6,25,0,0,0,150,Not Present,1,15
8862BP,0,4,2.3,3.8,Yellow,Hazy,1.029,7,25,0,0,3,0,Present,0,0
8877BP,0,2,2,4.5,Yellow,Hazy,1.058,7,25,0,0,0,250,Not Present,4,50
8893BP,0,4,7,6.7,Yellow,Clear,1.055,7,25,1000,0,0,0,Not Present,1,4
8894BP,1,4,10.8,7.8,Yellow,Cloudy,1.03,6,25,0,0,0,0,Present,20,12
9318BP,0,2,1.8,3.3,Yellow,Hazy,1.035,6,25,0,0,0,250,Not Present,0,100
9335BP,0,4,10.5,3.8,Straw,Clear,1.016,5,25,0,0,0,150,Not Present,1,4
9402BP,0,4,14.6,6,Straw,Clear,1.014,6,0,0,0,0,10,Not Present,0,2
9569BP,0,4,10.8,4.5,Yellow,Cloudy,1.043,7,75,0,0,0,50,Flocculent,5,60
9693BP,1,4,15.8,,Straw,Cloudy,1.012,6,25,0,0,0,150,Not Present,100,5
53056EM,0,4,19.8,4.3,yellow,clear,1.013,6,75,1000,0,0,0,Not Present,2,16
53071EM,0,2,5.8,6.5,Red,Cloudy,1.052,7,150,0,0,0,250,Not Present,2,100
9911BP,0,2,14.1,5.7,Straw,Clear,1.015,7,0,1000,0,0,10,Not Present,1,4
9932BP,0,4,10.8,,Yellow,Hazy,1.048,6,75,0,0,0,250,Present,4,100
224BQ,0,2,2.8,4.3,Amber,Cloudy,1.045,5,150,0,0,0,250,Not Present,5,100
364BQ,0,4,10.8,,Straw,Cloudy,1.02,5,25,0,0,0,10,Present,5,2
53162EM,0,2,9.5,6.1,Straw,Clear,1.009,5,0,0,0,0,0,Not Present,1,2
53162EM,0,2,9.5,6.1,Straw,Clear,1.009,6,0,0,0,0,50,Not Present,1,3
53162EM,1,2,9.5,6.1,Straw,Clear,1.009,5,0,0,0,0,0,Not Present,1,2
53162EM,1,2,9.5,6.1,Straw,Clear,1.009,6,0,0,0,0,50,Not Present,1,3
626BQ,0,2,16.8,3.3,Straw,Hazy,1.008,5,75,0,0,0,250,Not Present,10,50
713BQ,1,2,0,4.9,Yellow,Cloudy,1.013,6,25,0,0,3,50,Present,100,10
719BQ,0,4,13.8,3.8,Yellow,Sl Hazy,1.05,6,25,0,0,0,10,Present,1,1
53171EM,0,4,15.9,,Yellow,Clear,1.025,5,0,0,0,0,0,Not Present,2,2
351025M,0,4,14.9,,Straw,Clear,1.014,5,0,0,0,0,0,Not Present,2,2
53209EM,0,4,10.9,5.4,Straw,Sl Hazy,1.006,5,0,0,0,0,250,Not Present,2,60
1195BQ,0,2,10.7,5.8,Straw,Clear,1.009,6,25,0,0,0,25,Not Present,4,3
1248BQ,0,4,15.9,4.3,Straw,Clear,1.015,5,0,0,0,0,0,Not Present,1,3
1342BQ,0,4,11.5,,Yellow,Hazy,1.024,6,25,0,0,0,0,Not Present,5,2
53272EM,0,2,5.9,5.7,Yellow,Cloudy,1.052,8,75,0,0,0,250,Present,1,100
1664BQ,0,2,12,3.2,light yellow,Slightly Hazy,1.016,7,0,0,0,0,0,Present,2,0
351386M,0,2,13.1,,Straw,Clear,1.011,5,0,0,0,0,0,Not Present,0,0
1770BQ,0,2,5.9,4.7,Straw,Hazy,1.018,7,25,0,0,0,250,Flocculent,2,100
1782BQ,1,4,9.5,4.5,Straw,Cloudy,1.014,5,25,0,0,0,250,Present,6,20
1794BQ,0,2,18.1,3.6,Yellow,Clear,1.013,5,25,0,0,0,150,Not Present,3,16
1844BQ,0,4,5,7.1,Yellow,Cloudy,1.036,7,75,0,0,0,250,Not Present,3,100
1966BQ,0,2,7.7,8.3,Straw,Hazy,1.042,7,150,0,0,0,250,Present,10,100
2074BQ,1,4,12,1.5,Straw,Hazy,1.013,5,75,0,0,0,0,Present,10,2
2221BQ,0,2,10,4.9,Yellow,Clear,1.025,7,25,0,0,0,0,Not Present,3,3
53360EM,0,2,16.9,2.4,Straw,Clear,1.013,7,75,0,0,0,250,Not Present,6,35
53369EM,0,2,5.9,7.1,Red,Opaque,1.038,7,500,0,0,0,250,Not Present,15,100
2362BQ,0,2,11.7,7.3,Yellow,Hazy,1.055,6,25,0,0,0,0,Flocculent,5,0
2555BQ,0,2,10.9,4.3,Straw,Hazy,1.019,6,25,0,0,0,250,Present,2,2
2645BQ,0,4,4,3.5,Yellow,Hazy,1.026,6,25,0,0,0,250,Present,100,100
2661BQ,0,2,9.4,4.2,Straw,Clear,1.01,6,25,0,0,0,250,Not Present,2,60
2752BQ,0,4,9.5,,Straw,Cloudy,1.015,5,0,0,0,0,0,Flocculent,4,0
2979BQ,0,2,6.1,6.5,Straw,Clear,1.03,5,0,0,0,0,0,Not Present,1,3
53538EM,0,4,12,4.5,Straw,Hazy,1.022,6,25,0,0,0,250,Present,3,100
53596EM,0,2,7.9,8.9,Red,Opaque,1.033,7,500,0,0,0,250,Not Present,0,100
3710BQ,1,4,1.5,3.7,Amber,Cloudy,1.052,7,75,0,0,0,250,Present,5,100
3851BQ,0,4,7.9,4.9,Straw,Sl Hazy,1.023,6,75,0,0,0,25,Not Present,20,24
3869BQ,0,4,15,,Straw,Clear,1.031,7,25,1000,0,0,25,Present,1,6
53660EM,0,2,10.2,4.2,Colorless,Clear,1.008,7,0,100,0,0,250,Not Present,1,8
53720EM,0,4,3,5,Yellow,Cloudy,1.052,7,25,0,0,0,25,Present,0,2
53733EM,0,4,8,6,Yellow,Cloudy,1.045,6,75,50,0,0,250,Flocculent,5,40
4725BQ,0,2,8,3.1,Straw,Clear,1.011,6,25,0,0,0,50,Not Present,6,6
4878BQ,0,4,16,4.1,Straw,Clear,1.015,5,0,0,0,0,0,Present,1,1
53853EM,0,4,17,3.4,Yellow,Clear,1.01,8,25,100,0,0,25,Not Present,2,2
53921EM,0,4,10,4.1,Colorless,Clear,1.016,6,25,50,0,0,250,Not Present,4,5
53953EM,0,4,7,3.2,Straw,Sl Hazy,1.008,5,25,0,0,0,150,Present,10,0
53970EM,0,2,14,6.1,Straw,Sl Hazy,1.022,7,25,0,0,0,250,Not Present,2,100
53975EM,0,2,6,4.8,Yellow,Opaque,1.03,7,500,100,0,0,250,Not Present,2,100
5463BQ,0,2,14.3,6.9,Straw,Sl Hazy,1.027,5,25,1000,0,0,0,Not Present,2,0
5486BQ,1,4,20,3.9,Straw,Sl Hazy,1.012,6,0,0,0,0,0,Not Present,6,2
5560BQ,0,4,14.3,4.6,Straw,Sl Hazy,1.02,5,75,0,0,0,10,Present,2,2
5605BQ,0,2,19,3.3,Straw,Clear,1.009,6,0,0,0,0,0,Not Present,2,2
5861BQ,0,4,0,6,Yellow,Sl Hazy,1.051,6,75,0,0,0,0,Present,0,0
6103BQ,1,4,15,,Straw,Sl Hazy,1.017,7,25,0,0,0,0,Flocculent,0,0
6162BQ,0,2,13,3.4,Straw,Sl Hazy,1.016,6,25,0,0,0,50,Not Present,0,10
6177BQ,0,4,14,3.2,Yellow,Cloudy,1.026,5,150,0,0,0,250,Not Present,0,100
6196BQ,1,4,10,2.6,Straw,Cloudy,1.018,6,75,0,0,0,250,Not Present,100,5
6578BQ,0,2,19.1,5,Straw,Clear,1.012,5,25,0,0,0,250,Not Present,5,10
6596BQ,0,4,4.8,,Yellow,Cloudy,1.031,5,150,0,0,1,250,Not Present,5,100
54099EM,0,2,12,,Straw,Hazy,1.032,7,75,0,0,0,10,Present,2,0
54144EM,1,4,10.1,5.5,Yellow,Cloudy,1.016,7,25,0,0,0,250,Not Present,4,80
6688BQ,0,4,7.1,7.4,Yellow,Cloudy,1.07,7,75,0,5,0,0,Flocculent,1,0
6969BQ,0,2,14,5.4,Yellow,Clear,1.03,6,25,0,0,0,50,Not Present,3,20
6979BQ,0,2,15.1,3.3,Yellow,Hazy,1.036,6,25,0,0,0,0,Present,4,6
54188EM,1,2,7.1,4,Red,Opaque,1.025,7,500,0,0,0,250,Not Present,15,100
54200EM,0,4,19.1,4.5,Yellow,Sl Hazy,1.068,7,75,0,0,0,0,Present,2,0
54211EM,0,2,8.5,4.5,Yellow,Hazy,1.05,7,25,50,0,0,0,Not Present,0,0
7501BQ,0,4,16.1,2.8,Straw,Clear,1.015,5,0,0,0,0,0,Not Present,0,1
7557BQ,1,2,4.2,5.2,Yellow,Sl Hazy,1.052,6,25,0,0,0,25,Not Present,0,0
7764BQ,0,4,5.7,5.2,Straw,Clear,1.025,6,0,0,0,0,0,Not Present,0,0
7854BQ,1,4,16.1,4.3,Straw,Sl Hazy,1.012,6,25,0,0,0,250,Not Present,50,5
8006BQ,0,2,15.1,7.3,Yellow,Hazy,1.037,6,25,100,0,0,10,Present,5,4
8088BQ,0,2,1.8,6.2,Yellow,Hazy,1.06,7,75,0,0,0,250,Not Present,0,100
8175BQ,0,4,17.1,3.2,Straw,Sl Hazy,1.013,5,0,0,0,0,0,Not Present,0,0
54328EM,0,4,14.1,4.7,Yellow,Slightly Hazy,1.021,7,25,50,0,0,50,Not Present,0,50
8429BQ,0,4,7.1,7.3,Yellow,Sl Hazy,1.056,7,75,0,0,0,10,Not Present,3,2
8435BQ,0,2,9.1,4.3,Yellow,Clear,1.058,6,25,0,0,0,0,Not Present,2,2
8565BQ,0,4,2,4.1,Orange,Cloudy,1.02,7,75,0,0,0,250,Present,3,100
54358EM,0,2,17.1,4.5,Amber,Hazy,1.042,7,75,0,0,6,50,Present,6,25
54376EM,0,4,13.5,2.6,Red,Cloudy,1.031,5,500,100,0,1,250,Present,4,100
54396EM,1,2,2.1,6.7,Straw,Hazy,1.011,6,25,0,0,0,25,Not Present,100,10
8783BQ,0,4,12.8,2.2,Straw,Hazy,1.026,6,75,1000,50,0,250,Not Present,0,80
8792BQ,0,2,16.4,4,Straw,Clear,1.013,5,0,0,0,0,0,Not Present,0,0
9233BQ,1,2,8,7.9,Yellow,Clear,1.056,6,25,0,0,0,250,Not Present,0,15
54501EM,1,4,0,5.4,Straw,Clear,1.011,6,0,50,0,0,50,Not Present,12,3
9319BQ,0,2,13.1,3.9,Straw,Sl Hazy,1.014,6,0,0,0,0,0,Present,0,0
9494BQ,0,4,0.6,2.3,Straw,Clear,1.01,6,0,0,0,0,150,Not Present,3,5
9548BQ,0,2,8.1,5.4,Straw,Sl Hazy,1.01,6,0,0,0,0,250,Present,8,4
9791BQ,1,4,17,2.3,Straw,Cloudy,1.011,5,0,0,0,0,250,Not Present,20,40
9820BQ,0,4,11.3,4.4,Colorless,Clear,1.01,6,75,100,0,0,25,Not Present,2,4
9836BQ,0,4,16.1,4.3,Straw,Clear,1.016,5,0,0,0,0,0,Present,1,0
54551EM,0,4,10.1,4.8,Yellow,Cloudy,1.041,7,25,0,0,0,150,Present,2,100
54559EM,0,4,16.2,3.1,Straw,Sl Hazy,1.01,6,25,0,0,0,150,Not Present,3,3
141BR,1,2,14.4,6.1,Straw,Sl Hazy,1.023,6,75,1000,0,0,25,Not Present,0,0
303BR,0,2,13.9,,Red-yellow,Opaque,1.025,7,150,0,0,1,250,Present,40,100
366BR,0,2,17.2,4.4,Yellow,Clear,1.022,6,0,1000,0,0,0,Not Present,0,0
372BR,0,2,7,6.7,Yellow,Hazy,1.022,5,150,0,0,0,150,Not Present,0,50
458BR,0,2,4.2,6.2,Red,Cloudy,1.011,6,75,50,0,0,250,Not Present,40,50
478BR,0,-9,0,3.8,Straw,Clear,1.027,6,75,1000,0,0,0,Not Present,3,2
54646EM,1,4,21.2,3.1,Straw,Sl Hazy,1.013,7,0,0,0,0,50,Not Present,4,6
747BR,0,2,6.4,12.3,Red,Opaque,1.018,7,150,0,0,1,250,Present,35,100
54670EM,0,2,8.2,2.9,Straw,Clear,1.011,8,25,0,0,0,150,Not Present,0,2
54677EM,0,2,5.2,,Yellow,Cloudy,1.049,7,75,0,0,0,250,Not Present,1,100
1197BR,0,4,12.7,4.3,Straw,Hazy,1.016,6,25,0,0,0,250,Not Present,4,100
1222BR,0,4,2.6,5.1,Yellow,Cloudy,1.052,7,150,0,0,0,250,Not Present,3,100
1415BR,0,4,10.2,2.5,Straw,Clear,1.008,6,25,0,0,0,250,Not Present,1,8
1684BR,0,2,13.2,7.6,Yellow,Clear,1.046,8,25,50,0,0,0,Not Present,0,2
1694BR,0,4,11.2,4.9,Straw,Hazy,1.015,6,0,0,0,0,0,Not Present,0,0
1721BR,0,4,17.2,4.7,Straw,Clear,1.024,7,0,1000,0,0,0,Not Present,0,1
1725BR,1,2,8,7.8,Yellow,Clear,1.051,6,25,0,0,0,0,Not Present,1,3
1741BR,0,4,16.2,4.1,Yellow,Hazy,1.034,6,25,0,0,0,0,Present,5,2
54772EM,1,2,12.2,6,Yellow,Cloudy,1.032,6,150,0,0,0,250,Not Present,50,100
1779BR,0,2,20.5,5.3,Straw,Sl Hazy,1.012,6,0,0,0,0,150,Not Present,30,100
1797BR,1,4,19,2.4,Straw,Cloudy,1.015,6,25,0,0,0,10,Not Present,100,3
1956BR,0,2,9.3,6.3,Straw,Sl Hazy,1.022,6,25,0,0,0,0,Present,2,0
54826EM,0,4,12.7,3.4,Straw,Cloudy,1.03,7,25,100,0,0,250,Present,3,75
2170BR,0,4,4.2,6.7,Red,Cloudy,1.021,8,25,0,0,0,250,Not Present,0,100
2216BR,0,4,9.8,5.3,Yellow,Clear,1.01,7,0,0,0,0,10,Not Present,0,5
2283BR,0,4,20,5,Straw,Sl Hazy,1.015,5,0,0,0,0,250,Present,1,50
2310BR,0,4,18.1,,Straw,Sl Hazy,1.021,6,75,100,0,0,0,Not Present,3,4
2371BR,0,4,12.2,3.2,Straw,Clear,1.019,6,0,0,0,0,250,Present,0,25
2547BR,0,4,8.2,4.6,Straw,Clear,1.014,5,75,50,0,0,250,Not Present,4,80
2657BR,0,2,7.2,8.1,Yellow,Cloudy,1.038,7,150,0,0,0,250,Not Present,20,100
2771BR,0,2,12.2,,Yellow,Hazy,1.055,5,75,0,0,0,25,Not Present,0,3
2944BR,0,4,15,4.7,Straw,Sl Hazy,1.016,5,0,0,0,0,0,Present,2,0
3013BR,0,2,10.1,8.6,Straw,Clear,1.035,6,0,1000,0,0,0,Not Present,0,0
3240BR,0,4,4.8,3.7,Straw,Cloudy,1.026,6,75,0,0,0,150,Present,3,4
3430BR,0,2,5.8,4.2,Straw,Clear,1.015,6,25,0,0,0,250,Not Present,2,3
3876BR,0,4,13.9,5.3,Straw,Clear,1.013,5,0,0,0,0,0,Not Present,0,0
3967BR,0,2,13,5.5,Amber,Cloudy,1.05,7,75,0,0,6,25,Present,30,15
4190BR,0,4,9.3,4.5,Red,Cloudy,1.057,7,75,0,0,0,250,Present,4,100
4339BR,0,1,6.3,7.1,Yellow,Cloudy,1.045,6,150,0,0,0,250,Present,1,70
55116EM,0,2,5.3,8.1,Red,Opaque,1.024,7,150,0,0,0,250,Present,2,100
55158EM,0,2,3.3,6.6,Red,Cloudy,1.04,7,150,0,0,1,250,Not Present,4,100
55158EM,0,2,3.3,6.6,Red,Cloudy,1.04,7,150,0,0,1,250,Not Present,4,100
4748BR,0,2,19.3,4.9,Straw,Clear,1.011,5,25,0,0,0,250,Not Present,2,2
4750BR,0,2,14.1,7.8,Straw,Sl Hazy,1.014,7,0,0,0,0,250,Not Present,0,20
4937BR,0,2,7.6,6.4,Red,Opaque,1.043,7,150,0,0,0,250,Not Present,8,100
4955BR,0,2,1.5,2.5,Yellow,Hazy,1.016,8,500,50,0,0,250,Not Present,50,30
5210BR,0,4,1.5,,Yellow,Hazy,1.05,6,25,0,0,0,150,Present,0,20
5491BR,0,2,10,6,Straw,Clear,1.008,5,0,0,0,0,250,Not Present,2,2
55038EM,0,4,8.6,,Straw,Clear,1.012,7,25,100,0,0,10,Not Present,4,4
55038EM,0,4,8.6,,Straw,Clear,1.01,8,0,1000,0,0,0,Not Present;corrected report (previoulsy = <0.1),4,2
55038EM,0,4,8.6,,Straw,Clear,1.012,7,25,100,0,0,10,Not Present,4,4
55038EM,0,4,8.6,,Straw,Clear,1.01,8,0,1000,0,0,0,Not Present;corrected report (previoulsy = <0.1),4,2
55272EM,0,2,11.3,6.1,Amber,Cloudy,1.045,6,150,0,0,3,250,Present,2,100
5752BR,1,2,8.2,8.2,Yellow,Clear,1.058,7,25,0,0,0,0,Not Present,0,0
5825BR,0,2,12.3,4.4,Straw,Clear,1.019,6,0,0,0,0,0,Not Present,2,0
5989BR,0,2,16.7,4.6,Straw,Clear,1.018,5,0,0,0,0,250,Not Present,2,40
6613BR,0,2,5,6.2,Yellow,Hazy,1.044,6,75,0,0,0,250,Present,2,75
6712BR,0,4,15.8,4.1,Straw,Sl Hazy,1.015,5,0,0,0,0,250,Not Present,0,0
7038BR,0,2,16,3.3,Amber,Hazy,1.04,6,150,0,0,3,250,Present,5,60
7063BR,0,2,6.3,6.6,Amber,Opaque,1.044,5,500,0,0,0,250,Present,2,100
